Gen.	 Aptitud Media	 Aptitud Peor	 Aptitud Mejor	 Individuos
0	 2344,91095	 5380,69820	   1,81298	 10
1	 2227,17214	 4537,75449	   1,81298	 10
2	 2065,28684	 4203,31009	   1,81298	 10
3	 1658,26070	 4203,31009	   1,81298	 10
4	 1292,94396	 4155,26414	   1,81298	 10
5	 878,55393	 2918,90147	   1,81298	 10
6	 585,97171	 2918,90147	  -6,92064	 10
7	 298,21569	 1043,43921	  -6,92064	 10
8	 285,17225	 913,00478	  -6,92064	 10
9	 206,11750	 913,00478	  -6,92064	 10
10	 116,84569	 550,14270	  -6,92064	 10
11	  61,82902	 283,38997	  -6,92064	 10
12	  34,47770	 133,04870	  -6,92064	 10
13	  20,39128	 122,45729	  -7,81548	 10
14	  10,01258	  48,31723	  -7,81548	 10
15	   4,53771	  20,28670	  -7,81548	 10
16	   1,71018	  18,67030	  -7,98860	 10
17	   0,46272	  11,38527	  -7,98860	 10
18	  -0,23334	   9,85524	  -7,98860	 10
19	  -1,88976	   6,19571	  -7,98860	 10
20	  -3,30511	   4,55820	  -7,98860	 10
21	  -4,18784	   4,42466	  -7,98860	 10
22	  -5,19502	   1,81298	  -7,98860	 10
23	  -6,07994	  -0,02401	  -7,98860	 10
24	  -6,87721	  -4,26911	  -7,99662	 10
25	  -7,24831	  -5,64719	  -7,99662	 10
26	  -7,48246	  -6,43145	  -7,99662	 10
27	  -7,62195	  -6,70900	  -7,99662	 10
28	  -7,70216	  -6,92064	  -7,99662	 10
29	  -7,79246	  -7,03622	  -7,99662	 10
30	  -7,88644	  -7,51113	  -7,99662	 10
31	  -7,93421	  -7,81548	  -7,99662	 10
32	  -7,95215	  -7,82363	  -7,99662	 10
33	  -7,96976	  -7,82639	  -7,99971	 10
34	  -7,98543	  -7,95773	  -7,99971	 10
35	  -7,98762	  -7,97599	  -7,99971	 10
36	  -7,98923	  -7,97966	  -7,99971	 10
37	  -7,99123	  -7,98019	  -7,99971	 10
38	  -7,99297	  -7,98304	  -8,00000	 10
39	  -7,99462	  -7,98860	  -8,00000	 10
40	  -7,99497	  -7,98860	  -8,00000	 10
41	  -7,99546	  -7,98886	  -8,00000	 10
42	  -7,99645	  -7,99207	  -8,00000	 10
43	  -7,99725	  -7,99207	  -8,00000	 10
44	  -7,99803	  -7,99357	  -8,00000	 10
45	  -7,99867	  -7,99491	  -8,00000	 10
46	  -7,99906	  -7,99662	  -8,00000	 10
47	  -7,99939	  -7,99723	  -8,00000	 10
48	  -7,99967	  -7,99879	  -8,00000	 10
49	  -7,99979	  -7,99879	  -8,00000	 10
50	  -7,99991	  -7,99958	  -8,00000	 10
51	  -7,99994	  -7,99971	  -8,00000	 10
52	  -7,99997	  -7,99995	  -8,00000	 10
53	  -7,99997	  -7,99995	  -8,00000	 10
54	  -7,99998	  -7,99995	  -8,00000	 10
55	  -7,99998	  -7,99995	  -8,00000	 10
56	  -7,99999	  -7,99995	  -8,00000	 10
57	  -7,99999	  -7,99995	  -8,00000	 10
58	  -7,99999	  -7,99998	  -8,00000	 10
59	  -8,00000	  -7,99999	  -8,00000	 10
60	  -8,00000	  -7,99999	  -8,00000	 10
